x_m,y_m
16.440737,-4.065980
16.440681,-4.066104
16.440565,-4.066142
16.440411,-4.066060
16.440376,-4.065995
16.440626,-4.065949
16.440556,-4.065975
16.440304,-4.065947
16.440619,-4.065979
16.440453,-4.066031
16.440445,-4.065915
16.440498,-4.065850
16.440536,-4.066025
16.440594,-4.066102
16.440407,-4.065994
16.440472,-4.065984
16.440611,-4.066032
16.440531,-4.066042
16.440599,-4.065871
16.440662,-4.065786
16.440569,-4.065958
16.440540,-4.065938
16.440607,-4.065816
16.440552,-4.065899
16.440502,-4.065898
16.440334,-4.065939
16.440243,-4.065691
16.440203,-4.065825
16.439999,-4.065894
16.439930,-4.065619
16.439861,-4.065605
16.439692,-4.065948
16.439802,-4.066013
16.439913,-4.065903
16.439455,-4.068045
16.439013,-4.072735
16.438524,-4.076277
16.437933,-4.087336
16.437214,-4.095178
16.436575,-4.101502
16.436144,-4.108893
16.435663,-4.115913
16.435268,-4.123069
16.434750,-4.129945
16.434296,-4.135881
16.433983,-4.145482
16.433649,-4.153069
16.433374,-4.159042
16.433260,-4.166216
16.433035,-4.173561
16.432833,-4.180727
16.432817,-4.189643
16.432795,-4.193849
16.432608,-4.204048
16.432743,-4.211255
16.432819,-4.216947
16.432909,-4.224278
16.433025,-4.231778
16.433119,-4.238724
16.433479,-4.247304
16.433626,-4.251860
16.434214,-4.261165
16.434486,-4.268413
16.434822,-4.274115
16.435108,-4.281303
16.435476,-4.288926
16.435896,-4.296255
16.436399,-4.303160
16.436626,-4.308202
16.437000,-4.313184
16.437023,-4.314928
16.436909,-4.314820
16.437136,-4.313846
16.436939,-4.313963
16.437002,-4.314102
16.437225,-4.314415
16.437124,-4.314724
16.437017,-4.314357
16.437014,-4.314499
16.437256,-4.314566
16.437136,-4.314841
16.436979,-4.314972
16.437044,-4.314861
16.437115,-4.314654
16.437088,-4.314812
16.436779,-4.314683
16.436790,-4.314822
16.436838,-4.315012
16.436640,-4.315047
16.436571,-4.315098
16.436657,-4.315128
16.436546,-4.315136
16.436441,-4.315289
16.436440,-4.315513
16.436390,-4.315265
16.436594,-4.315240
16.436474,-4.315440
16.436535,-4.315481
16.436562,-4.315456
16.436190,-4.315374
16.436178,-4.315372
16.436213,-4.315681
16.436319,-4.315452
16.436275,-4.315415
16.436216,-4.315637
16.436184,-4.315505
16.436287,-4.315601
16.436007,-4.315347
16.435940,-4.315441
16.436008,-4.315558
16.435946,-4.315309
16.435814,-4.315562
16.435722,-4.315539
16.436108,-4.315733
16.435942,-4.315515
16.436087,-4.315540
16.435846,-4.315572
16.436388,-4.315603
16.438292,-4.316059
