x_m,y_m
6.672976,9.196101
6.672857,9.196234
6.672659,9.196301
6.672791,9.196298
6.672786,9.196214
6.672711,9.196188
6.672653,9.196320
6.672544,9.196571
6.672625,9.196685
6.672827,9.196842
6.672580,9.196858
6.672498,9.196657
6.672485,9.196683
6.672472,9.196677
6.672657,9.196786
6.672800,9.196623
6.672740,9.196620
6.672786,9.196533
6.672639,9.196567
6.672757,9.196581
6.672687,9.196520
6.672688,9.196513
6.672609,9.196471
6.672668,9.196477
6.672702,9.196465
6.672846,9.196465
6.672861,9.196379
6.672850,9.196261
6.672536,9.196030
6.672470,9.195969
6.672498,9.196073
6.672636,9.196335
6.672585,9.196267
6.672585,9.196287
6.672585,9.196287
6.672575,9.196278
6.672585,9.196287
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672576,9.196298
6.672683,9.197916
6.672777,9.202050
6.673437,9.206164
6.673872,9.211133
6.674469,9.215014
6.674436,9.218958
6.674838,9.222741
6.675173,9.226670
6.675306,9.230289
6.675527,9.235082
6.675829,9.239079
6.676248,9.243032
6.676569,9.246489
6.676590,9.249802
6.676826,9.253727
6.676997,9.257533
6.677263,9.261347
6.677536,9.265048
6.677722,9.268687
6.678188,9.273689
6.678389,9.277272
6.678638,9.281329
6.678857,9.284959
6.679060,9.288354
6.679330,9.292714
6.679688,9.296564
6.679831,9.299840
6.680053,9.304946
6.680426,9.308576
6.680570,9.312256
6.680867,9.315951
6.681081,9.319496
6.681434,9.323380
6.681960,9.328332
6.682055,9.331886
6.682215,9.335670
6.682680,9.339094
6.682986,9.343034
6.683070,9.346629
6.683467,9.350352
6.683619,9.353951
6.684041,9.359070
6.684238,9.362464
6.684532,9.366405
6.684833,9.369483
6.685175,9.373614
6.685368,9.377862
6.685684,9.381616
6.685946,9.384665
6.686164,9.387780
6.686540,9.393302
6.686722,9.396897
6.686998,9.400747
6.687333,9.404567
6.687669,9.408241
6.687899,9.411588
6.688305,9.415527
6.688494,9.419113
6.688783,9.422737
6.689174,9.427800
6.689460,9.431776
6.689655,9.435598
6.689919,9.439515
